,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Team,Overall,,,,,,,,,,,,,,,,,,,,,,
1,Milwaukee Bucks,56,,,,,,,,,,,,,,,,,,,,,,
2,Toronto Raptors,53,,,,,,,,,,,,,,,,,,,,,,
3,Los Angeles Lakers,52,,,,,,,,,,,,,,,,,,,,,,
4,Los Angeles Clippers,49,,,,,,,,,,,,,,,,,,,,,,
5,Boston Celtics,48,,,,,,,,,,,,,,,,,,,,,,
6,Denver Nuggets,46,,,,,,,,,,,,,,,,,,,,,,
7,Indiana Pacers,45,,,,,,,,,,,,,,,,,,,,,,
8,Houston Rockets,44,,,,,,,,,,,,,,,,,,,,,,
9,Miami Heat,44,,,,,,,,,,,,,,,,,,,,,,
10,Oklahoma City Thunder,44,,,,,,,,,,,,,,,,,,,,,,
11,Utah Jazz,44,,,,,,,,,,,,,,,,,,,,,,
12,Dallas Mavericks,43,,,,,,,,,,,,,,,,,,,,,,
13,Philadelphia 76ers,43,,,,,,,,,,,,,,,,,,,,,,
14,Brooklyn Nets,35,,,,,,,,,,,,,,,,,,,,,,
15,Portland Trail Blazers,35,,,,,,,,,,,,,,,,,,,,,,
16,Memphis Grizzlies,34,,,,,,,,,,,,,,,,,,,,,,
17,Phoenix Suns,34,,,,,,,,,,,,,,,,,,,,,,
18,Orlando Magic,33,,,,,,,,,,,,,,,,,,,,,,
19,San Antonio Spurs,32,,,,,,,,,,,,,,,,,,,,,,
20,Sacramento Kings,31,,,,,,,,,,,,,,,,,,,,,,
21,New Orleans Pelicans,30,,,,,,,,,,,,,,,,,,,,,,
22,Washington Wizards,25,,,,,,,,,,,,,,,,,,,,,,
23,Charlotte Hornets,23,,,,,,,,,,,,,,,,,,,,,,
24,Chicago Bulls,22,,,,,,,,,,,,,,,,,,,,,,
25,New York Knicks,21,,,,,,,,,,,,,,,,,,,,,,
26,Atlanta Hawks,20,,,,,,,,,,,,,,,,,,,,,,
27,Detroit Pistons,20,,,,,,,,,,,,,,,,,,,,,,
28,Cleveland Cavaliers,19,,,,,,,,,,,,,,,,,,,,,,
29,Minnesota Timberwolves,19,,,,,,,,,,,,,,,,,,,,,,
30,Golden State Warriors,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
